Word (Auditory),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
barking,5.000,7.300,2.150,4.590,3.990,4.110,2.420,7.290,2.990,4.410,3.870,4.160,8.400,7.760,6.640,5.550,7.830,4.750,6.530,8.360,9.280,8.600
silent,5.000,94.710,108.000,99.480,112.610,113.030,105.570,109.960,102.410,107.210,93.730,88.560,87.270,74.240,75.440,62.520,70.770,67.990,64.420,64.620,60.280,57.540
deafening,5.000,3.110,1.860,3.280,3.610,3.690,2.950,2.240,2.140,2.990,2.870,2.940,2.800,2.630,2.550,1.850,1.920,2.460,1.910,2.870,3.070,2.930
moaning,4.952,6.130,4.300,4.300,5.380,5.990,6.140,5.270,6.530,6.410,4.050,4.370,6.380,5.310,4.710,4.220,5.050,4.680,5.160,5.970,5.000,5.190
howling,4.952,7.680,5.440,7.660,11.770,7.440,6.790,8.090,6.080,7.490,6.370,5.760,7.240,7.150,6.090,5.650,7.110,4.680,7.100,6.700,5.460,4.650
screaming,4.952,22.060,3.440,5.470,5.190,5.930,6.610,6.010,6.030,6.070,6.780,8.180,11.170,16.350,18.540,22.190,26.060,26.740,31.860,35.870,33.830,31.480
shrieking,4.952,4.830,5.300,3.430,5.880,3.020,3.840,4.200,3.040,5.390,5.870,5.370,5.180,4.550,3.470,3.380,3.300,3.330,3.920,3.770,3.930,3.950
meowing,4.952,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.050,0.040,0.080,0.110,0.260,0.170,0.270,0.140,0.130,0.150,0.490,0.390
screeching,4.952,2.420,0.430,0.510,1.080,1.030,0.770,0.480,0.750,0.540,1.320,0.950,1.750,1.440,1.750,1.810,3.090,2.740,3.420,3.770,3.360,3.890
quiet,4.952,132.740,65.170,94.160,105.270,125.970,141.820,139.930,134.100,128.170,114.120,117.950,107.160,136.100,132.810,118.170,111.150,104.340,90.350,100.090,98.560,97.280
whistling,4.952,9.130,5.300,5.620,6.640,6.830,6.850,5.270,7.280,8.220,10.100,10.470,11.090,11.550,10.330,9.210,8.480,7.800,6.130,6.970,4.940,4.570
bleeping,4.952,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.330,0.180,0.340,0.280
noisy,4.952,12.920,11.750,12.330,13.100,12.340,12.870,12.930,11.060,11.990,12.380,11.820,12.760,11.800,11.530,10.920,11.130,11.170,9.680,8.780,9.880,6.830
loud,4.952,57.890,75.770,67.750,65.030,63.320,58.930,42.850,44.550,50.330,39.590,40.040,42.680,46.380,46.830,46.370,48.420,45.300,39.800,51.460,52.380,55.430
mute,4.952,8.590,14.750,15.170,18.540,11.610,13.520,12.080,10.020,9.450,7.690,5.150,5.760,4.330,5.150,3.870,5.530,6.590,4.220,5.400,5.630,4.910
audible,4.952,7.330,12.750,12.540,10.500,6.650,7.560,8.840,6.930,7.440,6.830,6.280,7.040,5.310,5.730,5.160,4.120,4.130,5.830,4.830,4.540,5.270
jingling,4.950,1.630,0.860,2.120,2.530,2.480,1.480,1.220,1.690,1.760,2.280,1.600,1.910,1.550,1.350,1.120,0.720,0.900,0.870,1.180,0.950,0.930
wailing,4.950,5.850,4.300,6.860,5.060,6.230,5.080,5.800,4.880,6.950,3.500,5.150,6.070,5.950,4.600,5.510,4.980,4.510,3.820,4.980,4.080,3.670
mumbling,4.905,2.800,0.290,0.510,0.820,1.030,0.590,1.170,0.400,1.080,1.320,1.470,3.620,3.750,3.610,3.210,3.850,3.330,2.880,2.440,3.040,2.910
whining,4.857,4.340,2.860,2.410,3.160,1.330,2.130,2.290,0.750,1.660,2.500,4.200,4.670,4.510,3.210,4.120,4.840,3.470,4.090,6.460,5.050,4.150
purring,4.857,1.730,0.290,0.150,0.380,0.670,0.890,1.060,1.300,0.690,1.640,2.160,1.910,2.090,1.720,1.010,2.580,1.210,1.640,1.510,1.780,1.860
murmuring,4.857,6.550,11.460,9.920,11.130,11.190,8.380,7.130,8.070,7.100,5.510,5.970,5.180,5.380,5.220,4.680,3.980,3.470,3.620,3.920,3.360,2.930
beeping,4.857,1.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.080,0.070,0.040,0.210,1.300,0.900,3.220,3.110,2.010,2.540
cooing,4.842,1.400,0.570,0.730,1.080,0.360,1.540,2.340,1.690,1.910,1.140,1.430,1.440,0.830,0.880,0.910,0.930,0.800,1.000,1.570,1.490,1.040
melodious,4.842,2.450,5.160,5.760,5.570,4.780,4.010,4.260,4.530,4.500,2.320,1.990,1.980,1.410,0.910,1.220,0.790,0.520,0.500,0.970,0.690,0.680
whimpering,4.810,2.440,1.290,0.660,0.760,0.970,1.000,1.280,0.550,1.030,1.410,2.250,3.070,3.360,2.810,2.580,2.880,2.050,2.610,1.960,2.580,2.510
muttering,4.810,7.530,6.730,8.900,10.310,9.430,6.910,6.650,6.180,6.510,5.960,5.930,7.000,7.000,5.770,5.720,7.110,5.760,5.930,5.880,4.770,5.250
shrill,4.789,10.220,9.740,12.910,15.370,9.310,10.980,11.760,9.620,12.830,11.560,12.990,12.330,11.620,10.510,7.330,6.730,5.410,4.960,4.830,4.800,3.330
sonorous,4.778,2.140,1.720,2.990,4.180,3.450,4.720,2.980,3.040,4.060,2.280,2.080,3.030,1.480,1.170,1.290,0.720,0.550,0.770,0.600,0.720,0.560
laughing,4.714,66.980,33.660,42.080,43.020,56.240,59.460,69.880,69.220,61.290,67.800,63.370,61.520,62.260,56.610,58.790,56.140,56.190,48.310,60.390,49.220,51.700
giggling,4.714,4.050,0.000,0.360,0.570,0.540,0.890,2.450,0.450,1.080,1.270,2.510,3.350,3.860,4.050,3.630,6.010,6.000,5.490,5.670,4.800,4.630
buzzing,4.714,5.180,1.290,1.530,1.830,2.540,2.950,2.820,2.540,2.400,3.590,4.070,3.810,3.930,3.650,4.610,5.250,5.410,4.860,6.000,6.810,8.180
echoing,4.714,5.950,5.300,6.270,8.600,4.110,5.020,3.670,4.340,3.720,4.190,2.640,2.920,3.180,4.230,4.470,5.320,5.170,6.830,6.370,7.240,6.660
rustling,4.667,6.200,4.580,7.730,8.540,11.550,8.500,7.980,6.030,6.170,6.320,6.450,5.680,4.110,4.960,3.660,3.540,3.950,4.290,3.350,3.790,3.640
whispering,4.667,14.440,12.750,11.820,11.960,16.270,11.510,10.490,11.310,9.500,11.240,12.340,13.230,14.150,14.450,10.920,11.920,10.200,11.190,14.750,13.440,11.850
squealing,4.667,1.890,0.000,0.070,0.510,0.360,0.180,0.430,0.550,0.730,1.460,1.210,1.830,2.710,2.300,2.270,1.990,1.910,1.440,2.750,2.700,1.780
snorting,4.650,1.970,1.860,1.310,1.770,1.690,1.120,1.490,0.650,1.520,2.000,1.390,3.270,1.620,1.720,1.120,1.650,2.010,1.640,1.900,1.980,1.410
growling,4.619,4.120,2.290,2.330,3.040,3.020,1.710,2.500,2.090,2.350,2.370,3.070,4.050,3.100,2.770,2.340,9.310,3.500,3.450,4.280,3.790,4.260
rhythmic,4.619,3.970,0.000,0.000,0.060,0.670,0.650,1.170,2.740,5.480,3.370,4.540,5.530,5.590,3.610,4.360,3.470,3.820,3.650,4.520,3.650,2.820
husky,4.619,5.330,0.430,2.480,5.000,2.840,3.960,3.620,3.590,2.990,4.100,6.060,6.690,7.040,6.930,6.980,4.840,3.430,3.420,4.130,3.930,3.500
thudding,4.571,1.120,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.100,0.320,1.000,0.700,1.660,1.500,0.940,1.680,1.180,1.810,1.480,1.750,1.160
booming,4.571,5.670,0.290,1.750,2.970,2.360,2.660,2.180,2.290,3.570,3.230,3.200,5.060,5.850,5.730,6.660,6.250,5.240,6.200,6.270,8.160,5.190
raucous,4.538,2.220,0.000,0.000,0.000,0.000,0.060,0.050,0.100,0.340,1.590,1.560,2.410,2.450,2.450,2.580,2.820,2.570,2.950,2.870,3.300,2.620
thunderous,4.524,1.920,0.000,0.150,0.380,0.360,0.940,0.590,0.950,1.570,1.550,1.770,2.100,2.240,2.260,2.650,1.580,1.420,2.380,1.780,2.500,1.440
banging,4.524,4.780,0.000,0.440,0.570,0.790,0.830,1.380,1.350,1.170,1.770,2.770,3.420,4.010,4.740,4.750,5.800,5.760,4.420,7.090,8.180,7.390
hissing,4.524,5.070,1.860,4.810,7.090,4.290,4.070,3.140,4.040,6.020,3.410,3.380,4.980,5.670,3.390,3.560,3.640,3.570,5.090,4.890,4.590,4.010
squeaking,4.524,1.580,0.570,1.310,0.950,1.870,0.350,0.430,0.700,1.030,0.410,1.170,1.010,1.410,1.720,1.260,1.920,1.770,0.970,2.200,2.010,1.690
blaring,4.500,1.490,0.000,0.000,0.000,0.000,0.000,0.210,0.200,0.290,0.180,0.300,0.890,1.080,1.170,1.150,1.650,2.220,1.880,2.410,3.100,2.930
crying,4.476,44.210,16.900,20.860,15.440,27.210,24.920,32.310,34.730,30.550,32.580,32.330,39.450,44.680,45.840,41.690,39.590,38.290,38.190,52.670,46.030,43.610
groaning,4.476,5.530,4.730,5.250,5.630,6.650,4.900,4.680,4.040,4.650,4.370,3.680,4.440,3.900,3.800,3.520,5.120,4.370,6.000,5.340,4.160,5.730
creaking,4.476,4.200,2.290,2.260,2.970,4.600,4.070,2.610,2.890,3.130,3.780,4.200,3.770,4.580,3.980,3.490,3.570,3.430,3.180,3.560,3.620,3.810
muffled,4.476,9.220,5.010,5.110,6.330,7.620,6.200,7.930,7.570,6.360,8.460,7.570,8.370,8.630,8.580,7.640,8.480,8.640,7.570,8.050,8.760,8.600
soundless,4.429,1.160,0.140,0.290,0.820,0.360,0.650,0.690,0.700,1.130,0.860,1.170,1.090,1.370,1.280,1.260,1.750,0.760,1.070,1.240,1.010,0.540
snarling,4.381,2.790,0.720,0.660,0.760,1.030,2.010,0.960,1.050,1.620,2.680,3.380,4.860,3.650,2.150,2.410,3.060,2.810,2.480,2.200,2.760,2.140
gurgling,4.381,2.070,0.860,1.900,3.350,3.210,2.420,1.600,1.590,1.660,1.370,1.950,1.750,1.410,1.750,1.600,1.440,1.560,1.540,1.720,1.550,1.860
hushed,4.381,8.140,11.600,12.840,13.350,13.550,11.450,10.220,8.770,10.820,6.370,5.840,6.190,6.860,6.090,5.480,5.430,4.470,4.660,4.130,4.510,4.340
crackling,4.286,4.360,3.580,2.120,4.180,4.600,3.480,3.300,3.090,3.080,4.370,4.630,4.980,4.260,3.430,3.490,3.400,2.500,3.520,4.070,4.190,3.440
rumbling,4.238,4.340,2.010,2.840,3.100,3.570,3.070,3.030,2.890,2.940,3.410,3.940,4.050,4.010,4.270,3.210,3.850,2.770,3.280,4.800,4.680,4.710
popping,4.190,4.600,0.430,0.440,0.700,1.270,0.590,1.280,1.000,0.830,1.230,1.990,2.570,4.840,4.050,5.230,4.810,4.510,5.290,6.640,8.850,7.420
tinkling,4.150,2.450,1.290,2.260,2.150,3.510,1.950,1.810,3.440,3.230,2.370,1.770,2.650,2.890,2.120,2.270,2.200,1.110,1.510,1.660,1.670,1.100
warbling,3.938,0.910,2.720,3.350,2.470,2.900,0.770,0.690,0.950,1.130,0.640,0.260,0.310,0.220,0.840,0.310,0.380,0.210,0.600,0.450,0.460,0.480
thumping,3.905,3.410,0.140,1.900,1.460,1.150,1.180,2.020,0.850,1.860,2.820,2.730,5.180,4.190,3.100,2.860,2.950,3.020,2.980,3.200,4.450,3.860
hoarse,3.900,8.320,10.600,9.410,13.920,8.350,9.390,11.230,7.080,10.620,10.560,9.570,9.220,8.450,7.230,5.860,5.010,3.950,5.130,4.310,3.390,3.270
resounding,3.833,2.580,2.010,1.530,2.590,2.180,2.830,2.240,1.990,2.200,2.500,2.420,2.020,2.490,2.630,2.690,2.710,2.570,2.040,1.810,1.460,1.410
crunching,3.714,1.760,0.000,0.220,0.250,0.240,0.650,1.060,0.600,0.880,1.140,0.820,1.320,1.480,0.950,1.470,1.270,1.460,1.540,2.750,3.590,3.190
raspy,3.647,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.220,0.120,0.070,0.040,0.140,0.450,0.760,0.900,1.270,2.350,2.280
harsh,3.333,20.740,17.900,20.490,19.610,19.840,19.600,19.270,13.850,16.550,14.330,15.450,14.440,16.200,15.620,15.040,18.370,18.420,21.370,18.490,22.140,17.060
reverberating,3.308,0.950,0.290,1.240,0.950,1.210,1.420,0.850,0.650,0.830,0.770,0.690,1.090,0.430,0.770,0.800,0.790,1.080,0.330,0.540,0.830,0.870